Target_name	Target_accession	Query_name	Query_accession	Full_seq_evalue	Full_seq_score	Full_seq_bias	Best_1_dom_evalue	Best_1_dom_score	Best_1_dom_bias	exp	reg	clu	ov	env	dom	rep	inc	Description_of_target
V-set	PF07686.19	2f58_H	-	2.2e-13	50.4	2.8	1e-12	48.3	1.1	2.1	2	0	0	2	2	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	2f58_H	-	2.9e-09	37.4	6.6	0.00011	22.7	1.4	2.8	2	1	0	2	2	0	0	"Immunoglobulin domain"
ig	PF00047.27	2f58_H	-	8.4e-07	29.2	6.1	0.017	15.4	2.4	3.0	2	1	0	2	2	0	0	"Immunoglobulin domain"
VPS28	PF03997.14	2f66_B	-	7.5e-28	97.7	1.3	8.9e-28	97.4	1.3	1.1	1	0	0	1	1	1	1	"VPS28 protein"
Paz_1	PF18349.3	2f8s_A	-	9.1e-63	208.3	0.5	2.8e-62	206.7	0.5	1.9	1	0	0	1	1	1	1	"PAZ domain"
Piwi	PF02171.19	2f8s_A	-	4.2e-55	187.2	0.9	5.8e-55	186.7	0.9	1.2	1	0	0	1	1	1	1	"Piwi domain"
FUR	PF01475.21	2fe3_B	-	3.8e-40	136.9	0.0	5.1e-40	136.5	0.0	1.2	1	0	0	1	1	1	1	"Ferric uptake regulator family"
Glycos_transf_2	PF00535.28	2ffu_A	-	9.1e-30	103.8	0.0	1.4e-29	103.2	0.0	1.3	1	0	0	1	1	1	1	"Glycosyl transferase family 2"
Ricin_B_lectin	PF00652.24	2ffu_A	-	2.6e-22	79.5	1.8	4.3e-22	78.8	1.8	1.4	1	0	0	1	1	1	1	"Ricin-type beta-trefoil lectin domain"
Phage_CI_C	PF16452.7	2fjr_A	-	1.8e-31	108.4	0.0	4e-31	107.3	0.0	1.5	2	0	0	2	2	1	1	"Bacteriophage CI repressor C-terminal domain"
Phage_CI_repr	PF07022.15	2fjr_A	-	1.3e-23	83.0	0.0	2.3e-23	82.1	0.0	1.4	1	0	0	1	1	1	1	"Bacteriophage CI repressor helix-turn-helix domain"
PBP_GOBP	PF01395.24	2fjy_B	-	5.5e-15	55.6	3.3	6.2e-15	55.4	3.3	1.0	1	0	0	1	1	1	1	"PBP/GOBP family"
R-HINP1I	PF11463.10	2fkc_A	-	2.6e-110	366.9	2.7	3.1e-110	366.7	2.7	1.0	1	0	0	1	1	1	1	"R.HinP1I restriction endonuclease"
Lipoprotein_1	PF00820.21	2fkj_A	-	2.5e-146	485.7	70.8	1.5e-81	273.4	27.8	4.7	1	1	4	5	5	5	5	"Borrelia lipoprotein"
HTH_Crp_2	PF13545.8	2fmy_A	-	3.2e-15	56.0	1.4	5e-15	55.3	0.7	1.7	2	0	0	2	2	1	1	"Crp-like helix-turn-helix domain"
cNMP_binding	PF00027.31	2fmy_A	-	2.8e-09	37.0	0.0	6.6e-09	35.8	0.0	1.6	1	0	0	1	1	1	1	"Cyclic nucleotide-binding domain"
BTD	PF09270.12	2fo1_A	-	1.8e-57	192.9	0.3	1e-56	190.5	0.1	2.1	2	0	0	2	2	1	1	"Beta-trefoil DNA-binding domain"
LAG1-DNAbind	PF09271.13	2fo1_A	-	9.6e-47	159.5	0.2	1.5e-46	158.8	0.2	1.3	1	0	0	1	1	1	1	"LAG1, DNA binding"
TIG_SUH	PF20144.1	2fo1_A	-	1.3e-26	92.7	0.0	3.1e-26	91.5	0.0	1.7	1	0	0	1	1	1	1	"TIG domain"
TIG	PF01833.26	2fo1_A	-	5e-05	23.4	0.0	0.00012	22.1	0.0	1.6	1	0	0	1	1	1	1	"IPT/TIG domain"
4HBT	PF03061.24	2fs2_B	-	6.6e-21	74.5	0.0	1.2e-20	73.7	0.0	1.4	1	0	0	1	1	1	1	"Thioesterase superfamily"
Phage_capsid	PF05065.15	2fs3_A	-	3.1e-58	197.4	0.2	3.4e-58	197.3	0.2	1.0	1	0	0	1	1	1	1	"Phage capsid family"
zf-UBP	PF02148.21	2g43_A	-	3.3e-18	65.9	0.0	5.1e-18	65.3	0.0	1.3	1	0	0	1	1	1	1	"Zn-finger in ubiquitin-hydrolases and other protein"
IclR	PF01614.20	2g7u_A	-	3.7e-30	104.5	0.2	5.4e-30	104.0	0.2	1.2	1	0	0	1	1	1	1	"Bacterial transcriptional regulator"
HTH_IclR	PF09339.12	2g7u_A	-	3.9e-13	49.1	1.7	5.1e-13	48.7	0.2	2.0	2	0	0	2	2	1	1	"IclR helix-turn-helix domain"
DUF433	PF04255.16	2ga1_A	-	1.8e-23	82.3	0.2	1.1e-22	79.8	0.0	2.0	2	0	0	2	2	1	1	"Protein of unknown function (DUF433)"
Peripla_BP_4	PF13407.8	2gbp_A	-	4.2e-64	216.7	14.4	5e-64	216.5	14.4	1.0	1	0	0	1	1	1	1	"Periplasmic binding protein domain"
Peripla_BP_1	PF00532.23	2gbp_A	-	7.5e-10	38.8	2.9	3.5e-09	36.6	2.9	1.8	1	1	0	1	1	1	1	"Periplasmic binding proteins and sugar binding domain of LacI family"
EPSP_synthase	PF00275.22	2gga_A	-	7.2e-102	341.3	0.1	8.3e-102	341.1	0.1	1.0	1	0	0	1	1	1	1	"EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)"
RNA_pol_Rpb1_1	PF04997.14	2gho_D	-	3.5e-85	286.2	0.0	5.4e-85	285.6	0.0	1.3	1	0	0	1	1	1	1	"RNA polymerase Rpb1, domain 1"
RNA_pol_Rpb1_5	PF04998.19	2gho_D	-	3.7e-58	197.2	0.0	4.9e-42	144.3	0.0	2.7	2	1	1	3	3	2	2	"RNA polymerase Rpb1, domain 5"
RNA_pol_Rpb1_2	PF00623.22	2gho_D	-	3e-37	128.5	0.0	1.1e-35	123.4	0.0	2.4	1	1	0	1	1	1	1	"RNA polymerase Rpb1, domain 2"
RNA_pol_Rpb1_3	PF04983.20	2gho_D	-	1.7e-30	106.1	0.0	5.9e-30	104.4	0.0	1.9	1	1	0	1	1	1	1	"RNA polymerase Rpb1, domain 3"
RNA_pol_Rpb1_4	PF05000.19	2gho_D	-	2e-15	56.8	0.0	4.4e-15	55.6	0.0	1.6	1	0	0	1	1	1	1	"RNA polymerase Rpb1, domain 4"
YcgR	PF07317.14	2gjg_A	-	8.4e-27	93.3	0.0	1.6e-26	92.3	0.0	1.5	1	0	0	1	1	1	1	"Flagellar regulator YcgR"
PilZ	PF07238.16	2gjg_A	-	2.7e-11	43.8	0.2	3.6e-10	40.2	0.1	2.1	2	0	0	2	2	1	1	"PilZ domain"
C1-set	PF07654.17	2gjz_H	-	1.5e-19	70.3	0.8	4.2e-16	59.2	0.1	2.6	2	1	0	2	2	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	2gjz_H	-	1.4e-16	60.7	1.6	3.1e-15	56.4	0.1	2.2	2	0	0	2	2	1	1	"Immunoglobulin V-set domain"
ig	PF00047.27	2gjz_H	-	3.2e-06	27.3	5.0	0.0034	17.6	1.0	3.2	2	2	0	2	2	0	0	"Immunoglobulin domain"
CodY	PF06018.16	2gx5_C	-	8.5e-73	243.7	0.2	9.6e-73	243.5	0.2	1.0	1	0	0	1	1	1	1	"CodY GAF-like domain"
C1-set	PF07654.17	2h32_B	-	5.6e-30	103.6	0.1	7.1e-30	103.3	0.1	1.1	1	0	0	1	1	1	1	"Immunoglobulin C1-set domain"
C2-set_2	PF08205.14	2h32_B	-	9.2e-05	22.5	0.3	0.00012	22.2	0.3	1.3	1	0	0	1	1	1	1	"CD80-like C2-set immunoglobulin domain"
Peripla_BP_4	PF13407.8	2h3h_A	-	2.3e-66	224.1	4.1	5.4e-66	222.9	3.3	1.7	2	0	0	2	2	1	1	"Periplasmic binding protein domain"
Peripla_BP_1	PF00532.23	2h3h_A	-	7.7e-18	65.0	0.0	1e-17	64.6	0.0	1.2	1	0	0	1	1	1	1	"Periplasmic binding proteins and sugar binding domain of LacI family"
ABC_sub_bind	PF04392.14	2h3h_A	-	5.5e-06	25.9	1.9	0.00022	20.7	0.1	2.8	1	1	1	2	2	0	0	"ABC transporter substrate binding protein"
CblD	PF07434.13	2hb0_A	-	2.2e-23	82.9	1.0	5.9e-23	81.5	1.0	1.6	1	1	0	1	1	1	1	"CblD like pilus biogenesis initiator"
TonB_dep_Rec	PF00593.26	2hdi_A	-	1.7e-61	209.7	26.1	2.1e-61	209.3	26.1	1.2	1	0	0	1	1	1	1	"TonB dependent receptor"
Plug	PF07715.17	2hdi_A	-	1.6e-33	115.5	1.1	6.7e-33	113.6	0.1	2.5	3	0	0	3	3	1	1	"TonB-dependent Receptor Plug Domain"
EF-hand_7	PF13499.8	2hps_A	-	1.1e-16	61.1	3.5	5.8e-10	39.6	0.3	3.1	1	1	1	2	2	1	1	"EF-hand domain pair"
EF-hand_1	PF00036.34	2hps_A	-	1.3e-15	55.8	2.1	6.6e-05	22.3	0.0	3.7	4	0	0	4	4	0	0	"EF hand"
EF-hand_5	PF13202.8	2hps_A	-	2.5e-15	55.3	3.0	0.00027	20.4	0.0	4.1	5	0	0	5	5	3	3	"EF hand"
EF-hand_6	PF13405.8	2hps_A	-	8.7e-13	47.1	1.1	0.0011	18.7	0.2	3.5	3	0	0	3	3	0	0	"EF-hand domain"
EF-hand_8	PF13833.8	2hps_A	-	2.3e-12	46.6	2.5	1.2e-05	25.1	0.1	3.6	3	1	1	4	4	2	2	"EF-hand domain pair"
Recep_L_domain	PF01030.26	2hr7_A	-	2.7e-57	191.8	2.4	2.5e-29	101.7	0.3	2.3	2	0	0	2	2	2	2	"Receptor L domain"
Furin-like	PF00757.22	2hr7_A	-	4.5e-37	127.3	44.6	6.7e-37	126.7	44.6	1.3	1	0	0	1	1	1	1	"Furin-like cysteine rich region"
RNA_ligase	PF09414.12	2hvs_A	-	2.9e-25	89.6	0.2	6.2e-25	88.5	0.1	1.6	2	0	0	2	2	1	1	"RNA ligase"
T4_Rnl2_C	PF18043.3	2hvs_A	-	1.3e-22	79.9	0.1	2.6e-22	79.0	0.1	1.5	1	0	0	1	1	1	1	"T4 RNA ligase 2 C-terminal"
Ras	PF00071.24	2hxs_A	-	3.5e-40	137.3	0.1	4e-40	137.2	0.1	1.0	1	0	0	1	1	1	1	"Ras family"
Roc	PF08477.15	2hxs_A	-	7.8e-27	94.0	0.1	9.9e-27	93.6	0.1	1.1	1	0	0	1	1	1	1	"Ras of Complex, Roc, domain of DAPkinase"
Arf	PF00025.23	2hxs_A	-	7.3e-12	45.2	0.0	7.9e-12	45.1	0.0	1.1	1	0	0	1	1	1	1	"ADP-ribosylation factor family"
Gtr1_RagA	PF04670.14	2hxs_A	-	4.9e-06	26.2	0.0	6e-06	25.9	0.0	1.1	1	0	0	1	1	1	1	"Gtr1/RagA G protein conserved region"
POT1	PF02765.19	2i0q_A	-	1.3e-74	248.8	13.6	5e-50	169.1	0.4	3.2	2	1	1	3	3	2	2	"Telomeric single stranded DNA binding POT1/CDC13"
PDZ	PF00595.26	2i1n_B	-	1.9e-20	73.1	0.2	2.2e-20	72.9	0.2	1.0	1	0	0	1	1	1	1	"PDZ domain"
EF-hand_7	PF13499.8	2i2r_F	-	1e-22	80.5	1.3	7.7e-17	61.6	0.3	2.6	2	1	0	2	2	1	1	"EF-hand domain pair"
EF-hand_1	PF00036.34	2i2r_F	-	6.1e-19	66.2	5.8	2.9e-07	29.6	0.2	4.0	4	0	0	4	4	1	1	"EF hand"
EF-hand_6	PF13405.8	2i2r_F	-	4.7e-15	54.1	6.2	0.00014	21.5	0.1	4.0	4	0	0	4	4	0	0	"EF-hand domain"
EF-hand_8	PF13833.8	2i2r_F	-	1e-14	54.1	1.2	4.4e-06	26.5	0.2	3.4	2	1	1	3	3	3	3	"EF-hand domain pair"
EF-hand_5	PF13202.8	2i2r_F	-	4.3e-12	45.0	5.8	4.3e-05	22.9	0.2	3.9	4	0	0	4	4	2	2	"EF hand"
SPARC_Ca_bdg	PF10591.11	2i2r_F	-	6.6e-06	26.5	1.1	0.00073	19.9	0.5	2.8	1	1	1	2	2	0	0	"Secreted protein acidic and rich in cysteine Ca binding region"
IclR	PF01614.20	2ia2_A	-	4.5e-35	120.4	0.2	8.5e-35	119.5	0.1	1.5	2	0	0	2	2	1	1	"Bacterial transcriptional regulator"
HTH_IclR	PF09339.12	2ia2_A	-	4e-16	58.6	1.1	7.9e-16	57.7	1.1	1.5	1	0	0	1	1	1	1	"IclR helix-turn-helix domain"
IF4E	PF01652.20	2idv_A	-	7.9e-53	178.6	1.5	9.7e-53	178.3	1.5	1.0	1	0	0	1	1	1	1	"Eukaryotic initiation factor 4E"
PM0188	PF11477.10	2ii6_A	-	1.8e-181	603.5	12.5	2.2e-181	603.3	12.5	1.0	1	0	0	1	1	1	1	"Sialyltransferase PMO188"
HSP90	PF00183.20	2iop_A	-	6.1e-127	424.9	7.5	7e-125	418.1	7.0	2.0	1	1	1	2	2	1	1	"Hsp90 protein"
HATPase_c	PF02518.28	2iop_A	-	7.7e-14	52.2	0.1	1.4e-13	51.4	0.1	1.5	1	0	0	1	1	1	1	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
HATPase_c_3	PF13589.8	2iop_A	-	1.1e-11	44.9	0.1	3.2e-11	43.4	0.1	1.8	1	0	0	1	1	1	1	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
AA_kinase	PF00696.30	2j0x_A	-	2.4e-47	161.7	0.2	3.5e-47	161.1	0.2	1.3	1	0	0	1	1	1	1	"Amino acid kinase family"
ACT	PF01842.27	2j0x_A	-	1.3e-08	34.6	0.0	1.7e-06	27.8	0.0	2.7	2	0	0	2	2	1	1	"ACT domain"
ACT_7	PF13840.8	2j0x_A	-	2e-06	27.6	0.1	0.066	13.1	0.0	3.0	3	0	0	3	3	0	0	"ACT domain"
Pkinase	PF00069.27	2j51_A	-	3.4e-69	233.2	0.0	4.1e-69	233.0	0.0	1.1	1	0	0	1	1	1	1	"Protein kinase domain"
PK_Tyr_Ser-Thr	PF07714.19	2j51_A	-	4.6e-50	170.4	0.0	5.9e-50	170.1	0.0	1.1	1	0	0	1	1	1	1	"Protein tyrosine and serine/threonine kinase"
ABC1	PF03109.18	2j51_A	-	2.6e-05	23.5	0.1	0.00012	21.4	0.0	2.0	3	0	0	3	3	0	0	"ABC1 atypical kinase-like domain"
Dynamin_N	PF00350.25	2j68_A	-	1.2e-31	110.1	2.3	4.6e-31	108.2	0.0	3.0	3	1	0	3	3	1	1	"Dynamin family"
MMR_HSR1	PF01926.25	2j68_A	-	1.1e-07	32.0	0.0	2.2e-06	27.9	0.0	2.9	2	2	0	2	2	1	1	"50S ribosome-binding GTPase"
V-set	PF07686.19	2j6e_I	-	3.1e-15	56.4	0.1	5.3e-15	55.6	0.1	1.4	1	0	0	1	1	1	1	"Immunoglobulin V-set domain"
C1-set	PF07654.17	2j6e_I	-	4.6e-08	33.4	0.0	3.1e-07	30.7	0.0	2.1	2	0	0	2	2	1	1	"Immunoglobulin C1-set domain"
ig	PF00047.27	2j6e_I	-	6.5e-08	32.7	2.1	0.00055	20.2	0.1	3.1	3	0	0	3	3	0	0	"Immunoglobulin domain"
C1-set	PF07654.17	2j6e_M	-	3.6e-31	107.4	0.1	1e-30	106.0	0.1	1.7	2	0	0	2	2	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	2j6e_M	-	9.2e-20	71.0	0.2	1e-18	67.6	0.0	2.3	2	1	0	2	2	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	2j6e_M	-	8.9e-12	45.5	4.1	6.1e-05	23.6	0.4	2.7	2	1	0	2	2	0	0	"Immunoglobulin domain"
ig	PF00047.27	2j6e_M	-	2.6e-11	43.6	0.4	0.00014	22.0	0.1	2.6	2	1	0	2	2	1	1	"Immunoglobulin domain"
C2-set_2	PF08205.14	2j6e_M	-	5e-06	26.6	1.0	0.00015	21.8	0.2	2.2	2	0	0	2	2	1	1	"CD80-like C2-set immunoglobulin domain"
I-set	PF07679.18	2j6e_M	-	2.8e-05	24.2	0.1	0.12	12.5	0.0	2.4	2	1	0	2	2	0	0	"Immunoglobulin I-set domain"
P-II	PF00543.24	2j9e_B	-	5.1e-40	136.3	3.3	5.9e-40	136.1	3.3	1.0	1	0	0	1	1	1	1	"Nitrogen regulatory protein P-II"
PAS_8	PF13188.9	2jhe_A	-	1e-05	25.5	0.0	2.7e-05	24.2	0.0	1.7	1	0	0	1	1	1	1	"PAS domain"
2OG-FeII_Oxy_3	PF13640.8	2jig_A	-	3.2e-21	76.1	0.0	4.9e-21	75.5	0.0	1.3	1	0	0	1	1	1	1	"2OG-Fe(II) oxygenase superfamily"
2OG-FeII_Oxy	PF03171.22	2jig_A	-	1.8e-11	44.5	0.0	2.6e-11	44.0	0.0	1.2	1	0	0	1	1	1	1	"2OG-Fe(II) oxygenase superfamily"
TetR_N	PF00440.25	2jj7_B	-	1.9e-13	50.0	0.3	3.7e-13	49.1	0.3	1.5	1	0	0	1	1	1	1	"Bacterial regulatory proteins, tetR family"
TetR_C_29	PF17938.3	2jj7_B	-	7.8e-07	29.3	0.0	1.3e-06	28.6	0.0	1.5	1	0	0	1	1	1	1	"Tetracyclin repressor-like, C-terminal domain"
Profilin	PF00235.21	2jkf_A	-	1.4e-19	70.6	0.0	1.8e-19	70.3	0.0	1.1	1	0	0	1	1	1	1	"Profilin"
Pribosyltran	PF00156.29	2jky_A	-	3.5e-08	33.1	0.1	6.9e-08	32.1	0.1	1.5	1	1	0	1	1	1	1	"Phosphoribosyl transferase domain"
Peripla_BP_6	PF13458.8	2lbp_A	-	1.8e-60	205.6	5.0	2.1e-60	205.4	5.0	1.0	1	0	0	1	1	1	1	"Periplasmic binding protein"
ANF_receptor	PF01094.30	2lbp_A	-	1.3e-25	90.5	0.0	1.6e-25	90.1	0.0	1.1	1	0	0	1	1	1	1	"Receptor family ligand binding region"
Peripla_BP_5	PF13433.8	2lbp_A	-	6.6e-17	61.7	0.0	8.3e-17	61.3	0.0	1.1	1	0	0	1	1	1	1	"Periplasmic binding protein domain"
Leukocidin	PF07968.14	2lkf_A	-	2.1e-90	303.1	13.1	2.7e-90	302.7	13.1	1.1	1	0	0	1	1	1	1	"Leukocidin/Hemolysin toxin family"
zf-C4	PF00105.20	2nll_B	-	1.2e-31	109.0	15.9	1.7e-31	108.6	15.9	1.2	1	0	0	1	1	1	1	"Zinc finger, C4 type (two domains)"
P-II	PF00543.24	2ns1_B	-	2.5e-40	137.3	1.2	2.9e-40	137.1	1.2	1.0	1	0	0	1	1	1	1	"Nitrogen regulatory protein P-II"
Chloroa_b-bind	PF00504.23	2o01_1	-	3.2e-48	164.4	0.0	3.8e-48	164.2	0.0	1.1	1	0	0	1	1	1	1	"Chlorophyll A-B binding protein"
PsaN	PF05479.13	2o01_N	-	9e-54	181.3	2.0	9.9e-54	181.2	2.0	1.0	1	0	0	1	1	1	1	"Photosystem I reaction centre subunit N (PSAN or PSI-N)"
IclR	PF01614.20	2o0y_C	-	2.4e-15	56.7	0.0	8.5e-15	54.9	0.0	1.9	1	1	0	1	1	1	1	"Bacterial transcriptional regulator"
HTH_IclR	PF09339.12	2o0y_C	-	1e-08	34.9	0.5	4.8e-08	32.8	0.4	2.0	2	0	0	2	2	1	1	"IclR helix-turn-helix domain"
EPSP_synthase	PF00275.22	2o0z_A	-	2.3e-121	405.5	0.0	2.6e-121	405.3	0.0	1.0	1	0	0	1	1	1	1	"EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)"
MvaI_BcnI	PF15515.8	2oaa_B	-	1.8e-48	165.5	6.4	2.2e-48	165.2	6.4	1.0	1	0	0	1	1	1	1	"MvaI/BcnI restriction endonuclease family"
T2SSE	PF00437.22	2oaq_2	-	1.7e-43	148.7	0.0	2.7e-43	148.1	0.0	1.2	1	0	0	1	1	1	1	"Type II/IV secretion system protein"
Sec2p	PF06428.13	2ocy_A	-	2.9e-29	101.0	13.8	2.9e-29	101.0	13.8	2.7	1	1	2	3	3	1	1	"GDP/GTP exchange factor Sec2p"
MvaI_BcnI	PF15515.8	2odi_A	-	7.1e-25	88.3	0.1	3.6e-24	86.0	0.1	1.8	1	1	0	1	1	1	1	"MvaI/BcnI restriction endonuclease family"
HTH_31	PF13560.8	2ofy_A	-	2e-09	37.7	0.1	2.9e-09	37.2	0.1	1.3	1	1	0	1	1	1	1	"Helix-turn-helix domain"
HTH_3	PF01381.24	2ofy_A	-	2e-07	31.1	0.0	3.5e-07	30.3	0.0	1.4	1	0	0	1	1	1	1	"Helix-turn-helix"
HTH_26	PF13443.8	2ofy_A	-	9.5e-05	22.8	0.0	0.00012	22.5	0.0	1.3	1	1	0	1	1	1	1	"Cro/C1-type HTH DNA-binding domain"
ALIX_LYPXL_bnd	PF13949.8	2ojq_A	-	1e-92	310.7	9.7	1.3e-92	310.4	9.7	1.1	1	0	0	1	1	1	1	"ALIX V-shaped domain binding to HIV"
GoLoco	PF02188.19	2om2_B	-	2.3e-08	33.4	0.0	3.2e-08	33.0	0.0	1.2	1	0	0	1	1	1	1	"GoLoco motif"
C1-set	PF07654.17	2omn_A	-	1.2e-30	105.8	0.3	2.1e-30	105.0	0.3	1.4	1	0	0	1	1	1	1	"Immunoglobulin C1-set domain"
V-set	PF07686.19	2omn_A	-	1.9e-20	73.1	0.3	3.9e-19	69.0	0.0	2.5	2	1	0	2	2	1	1	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	2omn_A	-	3.7e-12	46.7	4.4	1.7e-05	25.4	0.1	2.4	2	1	0	2	2	0	0	"Immunoglobulin domain"
ig	PF00047.27	2omn_A	-	1.1e-08	35.2	2.7	0.001	19.3	0.4	2.6	2	1	0	2	2	0	0	"Immunoglobulin domain"
I-set	PF07679.18	2omn_A	-	2e-07	31.0	0.4	0.004	17.3	0.0	2.5	2	1	0	2	2	0	0	"Immunoglobulin I-set domain"
C2-set_2	PF08205.14	2omn_A	-	0.00011	22.3	1.4	0.00026	21.1	0.5	2.0	3	0	0	3	3	1	1	"CD80-like C2-set immunoglobulin domain"
AdenylateSensor	PF16579.7	2ooy_A	-	1.6e-46	157.6	0.0	1.9e-46	157.4	0.0	1.0	1	0	0	1	1	1	1	"Adenylate sensor of SNF1-like protein kinase"
SRCR	PF00530.20	2oya_A	-	8.1e-29	100.0	3.3	9.4e-29	99.8	3.3	1.0	1	0	0	1	1	1	1	"Scavenger receptor cysteine-rich domain"
SRCR_2	PF15494.8	2oya_A	-	2.1e-06	28.4	0.6	2.8e-06	28.0	0.2	1.3	1	1	0	1	1	1	1	"Scavenger receptor cysteine-rich domain"
Ig_2	PF13895.8	2oz4_A	-	9.1e-14	51.7	0.7	0.0014	19.0	0.1	3.3	3	0	0	3	3	0	0	"Immunoglobulin domain"
ig	PF00047.27	2oz4_A	-	1.2e-05	25.4	1.1	0.29	11.4	0.0	4.4	4	1	1	5	5	0	0	"Immunoglobulin domain"
C1-set	PF07654.17	2oz4_L	-	1.5e-26	92.7	0.5	2.9e-26	91.7	0.5	1.5	1	0	0	1	1	1	1	"Immunoglobulin C1-set domain"
Ig_3	PF13927.8	2oz4_L	-	3.4e-15	56.4	2.3	3.6e-07	30.7	0.0	2.2	2	0	0	2	2	1	1	"Immunoglobulin domain"
V-set	PF07686.19	2oz4_L	-	5.4e-14	52.4	1.0	3e-13	50.0	0.0	2.2	2	1	0	2	2	1	1	"Immunoglobulin V-set domain"
ig	PF00047.27	2oz4_L	-	5.6e-12	45.8	3.6	1.2e-05	25.4	0.0	2.6	2	1	0	2	2	1	1	"Immunoglobulin domain"
I-set	PF07679.18	2oz4_L	-	1.1e-10	41.5	0.3	2.8e-06	27.4	0.0	2.4	2	0	0	2	2	1	1	"Immunoglobulin I-set domain"
Ig_2	PF13895.8	2oz4_L	-	1.4e-06	28.6	2.9	0.0049	17.3	0.1	2.5	2	1	0	2	2	0	0	"Immunoglobulin domain"
C2-set_2	PF08205.14	2oz4_L	-	0.00011	22.2	0.7	0.00097	19.2	0.3	2.1	2	0	0	2	2	0	0	"CD80-like C2-set immunoglobulin domain"
YhfZ_C	PF14503.8	2ozz_A	-	2.3e-83	279.5	0.0	2.6e-83	279.3	0.0	1.0	1	0	0	1	1	1	1	"YhfZ C-terminal domain"
Peptidase_C2	PF00648.23	2p0r_A	-	4.6e-129	429.8	0.0	5.2e-129	429.6	0.0	1.0	1	0	0	1	1	1	1	"Calpain family cysteine protease"
V-set	PF07686.19	2p1y_A	-	7.9e-41	138.8	0.0	4.8e-19	68.7	0.0	2.0	2	0	0	2	2	2	2	"Immunoglobulin V-set domain"
Ig_3	PF13927.8	2p1y_A	-	2.6e-12	47.2	0.1	6.2e-05	23.5	0.1	2.5	2	1	0	2	2	0	0	"Immunoglobulin domain"
ig	PF00047.27	2p1y_A	-	9.8e-08	32.2	0.3	0.0006	20.0	0.0	3.1	2	2	0	2	2	0	0	"Immunoglobulin domain"
I-set	PF07679.18	2p1y_A	-	4.1e-07	30.1	0.0	0.00098	19.2	0.0	2.9	2	2	0	2	2	0	0	"Immunoglobulin I-set domain"
Ig_2	PF13895.8	2p1y_A	-	8.7e-07	29.3	1.4	0.0084	16.5	0.0	3.1	2	2	0	2	2	0	0	"Immunoglobulin domain"
HTH_5	PF01022.22	2p4w_B	-	4.5e-16	58.5	0.1	1.2e-15	57.2	0.1	1.7	1	0	0	1	1	1	1	"Bacterial regulatory protein, arsR family"
HTH_20	PF12840.9	2p4w_B	-	4.5e-12	45.9	0.4	4.5e-12	45.9	0.4	2.3	3	0	0	3	3	1	1	"Helix-turn-helix domain"
HTH_24	PF13412.8	2p4w_B	-	2.2e-06	27.2	1.6	0.00011	21.7	0.9	3.6	2	1	0	2	2	0	0	"Winged helix-turn-helix DNA-binding"
PadR	PF03551.16	2p4w_B	-	0.00025	21.0	0.7	0.001	19.1	0.1	2.3	2	1	0	2	2	0	0	"Transcriptional regulator PadR-like family"
GSHPx	PF00255.21	2p5r_A	-	4.3e-42	142.2	0.5	5.4e-42	141.8	0.5	1.1	1	0	0	1	1	1	1	"Glutathione peroxidase"
AhpC-TSA	PF00578.23	2p5r_A	-	1.6e-08	34.6	0.4	2.8e-08	33.8	0.1	1.6	2	0	0	2	2	1	1	"AhpC/TSA family"
Redoxin	PF08534.12	2p5r_A	-	3.3e-07	30.2	0.0	6.2e-06	26.1	0.1	2.0	2	0	0	2	2	0	0	"Redoxin"
TGF_beta	PF00019.22	2p6a_A	-	1.7e-31	109.3	1.1	2e-31	109.1	1.1	1.0	1	0	0	1	1	1	1	"Transforming growth factor beta like domain"
Serpin	PF00079.22	2pee_A	-	3.8e-88	296.4	6.0	4.3e-88	296.2	6.0	1.0	1	0	0	1	1	1	1	"Serpin (serine protease inhibitor)"
Tctex-1	PF03645.15	2pg1_E	-	1.2e-31	108.7	2.8	1.4e-31	108.6	2.8	1.0	1	0	0	1	1	1	1	"Tctex-1 family"
YbjN	PF10722.11	2plg_A	-	9.2e-18	64.7	0.1	2.3e-17	63.4	0.1	1.6	1	1	1	2	2	1	1	"Putative bacterial sensory transduction regulator"
Transferrin	PF00405.19	2pms_A	-	1.9e-179	596.0	0.0	2.2e-179	595.8	0.0	1.0	1	0	0	1	1	1	1	"Transferrin"
Birna_VP4	PF01768.18	2pnl_A	-	2.6e-62	211.1	0.0	3e-62	210.9	0.0	1.0	1	0	0	1	1	1	1	"Birnavirus VP4 protein"
PAS_9	PF13426.9	2pr6_A	-	1e-22	80.5	0.5	1.2e-22	80.3	0.5	1.1	1	0	0	1	1	1	1	"PAS domain"
PAS	PF00989.27	2pr6_A	-	4.9e-10	39.5	0.0	6.1e-10	39.2	0.0	1.1	1	0	0	1	1	1	1	"PAS fold"
