CLUSTER_REP,SUBCLUSTER_REP,SUBCLUSTER_MEMBERS
3obyA,3obyA,"[]"
1jbsA,1jbtB,"['1aqzB', '1aqzA', '1jbrA', '1jbtA', '1jbsB', '1jbrB', '1jbsA']"
3gfpA,3pevA,"['3gfpA', '3peuA']"
6fwvA,6fwvA,"['6fwvB']"
5dt7C,5dt7A,"['5dt5H', '5dt7D', '5dt7B', '5dt5B', '5dt5A', '5dt5D', '5dt5E', '5dt5G', '5dt7C', '5dt5C', '5dt5F']"
3pr9A,3pr9A,"['3praB', '3praA']"
1m6jA,1m6jA,"['1m6jB']"
1hh2P,1l2fA,"['1hh2P']"
4r5zA,4r5zD,"['4r5zB', '4r2nC', '4r2nA', '4r5zC', '4r5zA', '4r2nD', '4r2nB']"
4j48A,4j46A,"['4j45A', '4kjuA', '4j3yA', '4j47A', '4j48A', '4j44A', '4kjvA']"
5z1xA,5z1xB,"['5z22A', '5z1xA']"
6irxA,6irxA,"['6irzA', '6iryA', '6is0A']"
2p0vA,2p0vA,"['2p0vB']"
5l63K,5l62Y,"['5l61Y', '5l63K', '5l5xK', '5l5zK', '5l60Y', '5l5wK', '5l61K', '5l64K', '5l5yK', '5l63Y', '5l62K', '5l5wY', '5l5yY', '5l5zY', '5l64Y', '5l60K', '5l5xY']"
3gnjA,3gnjA,"['3gnjC', '3gnjD', '3gnjB']"
1bndA,1b8mA,"['1bndA']"
3reuA,3p8vA,"['3rexB', '3p8tB', '3rl6B', '3rl6A', '3p8yA', '3rexA', '3p8tA', '3p8vB', '3reuB', '3reuA', '3p8yB']"
6j0yC,6j0yD,"['6j0yC']"
3dzwA,3dzwA,"['1nplA', '3dzwB']"
3p0kA,3ustA,"['3p0kA', '3qzyA', '3qzyB']"
2yd5A,3pxhA,"['2yd5A', '2yd8A']"
4bg4A,4bg4B,"['4bhlA', '4bg4A', '4am1A']"
1rl2B,1rl2B,"['1rl2A', '1c04A']"
3bo9A,5gvjB,"['5gvhA', '3bo9B', '5gvjA', '3bo9A']"
6ieaL,6iekF,"['6iekC']"
6ieaL,6ieaL,"[]"
6a6wA,6a6wA,"['5ybxA']"
1h5yB,1h5yB,"['1h5yA']"
1z7mB,1z7mD,"['1z7nB', '1z7mB', '1z7nA', '1z7nD', '1z7mA']"
4kqdB,4kqdC,"['4kqdA', '4kqdB', '4kqdD']"
5jpeA,5jpeA,"['5jpeB', '5jpfA']"
4ej0A,4ej0F,"['4ej0E', '4ej0A', '4ej0I', '4ej0H', '4ej0G', '4ej0C', '4ej0J', '4ej0D', '4ej0B']"
5u4lB,5u4mB,"['5j56B', '5u4lB']"
3pgjA,3sefD,"['3o8qB', '3o8qA', '3pgjA']"
6me8A,6me6A,"['6me9A', '6me7A', '6me8A']"
2qw5A,2qw5A,"['2qw5B']"
3bl5E,3bl5E,"['3bl5F']"
3fd5B,3fd5B,"[]"
2bc4D,1hdmB,"['4fqxD', '4i0pB', '2bc4B', '4i0pF', '2bc4D', '4gbxD']"
2an3B,3kpjB,"['3hccB', '3kr0B', '3kqwB', '1n7iA', '3kqsB', '3kqtB', '2g70A', '3kqyB', '3kqmB', '2an5B', '1n7jA', '3kqpB', '2g72A', '3kpvB', '2g72B', '1yz3B', '2g8nB', '3hcbB', '3hcfB', '1hnnA', '4dm3B', '2opbB', '3kpuB', '2g71B', '4mikB', '1n7jB', '2onzB', '2obfB', '3kqqB', '2an4B', '3kpyB', '1hnnB', '3hcaB', '3kqvB', '2an3B', '1n7iB', '3kr1B', '4mq4A', '3kpwB', '3kqoB', '3hcdB', '2g71A', '3hceB', '3kr2B', '1yz3A', '2onyB', '2g70B', '6ws1B']"
2y1pA,4wcbA,"['2ydbA', '2xmiA', '2yddA', '2ydcA', '4wbiA', '4wdaA', '4wdhA', '4wblA', '2ypcA', '4wdbA', '3zbzA', '2y3xA', '2y3xB', '5ae0A', '4wdeB', '4wddA', '2yq9A', '4wdeA', '4wc9A', '2yozA', '2yp0A', '4wexA', '4wdfA', '2ypeA', '4wccA', '2y1pA', '2yphA', '4wdgA', '2y3xE', '4wfrA', '3zbsA', '3zbrB', '4wcaA', '3zbrA']"
4b4oA,4b4oH,"['4b4oG', '4b4oD', '4b4oA', '4b4oC', '4b4oB', '4b4oF', '4b4oE']"
6gbnB,6gbnC,"['6gbnB', '6gbnA', '6gbnD']"
6dhxA,6dhxA,"['6dhxB', '6dhxC']"
4z8fH,4z8fH,"['4oduA', '4odtH', '4oduH', '4z95H']"
5f8cB,5f8cB,"['5f8fB', '5f8cC', '5f8eB', '5f8fA', '5f8cA', '5f8eA', '5f8eC', '5f8fC']"
6sc6A,6sc8A,"['6sc9A', '6sc6A', '6sc5A', '6sc7A']"
6ex8A,6ex8A,"['2p7uA', '2p86A', '6exoA', '6exqB', '6exqA', '6ex8B', '6exoB']"
6ktrB,6ktrG,"['6ktrB']"
3t24A,3t24A,"['3t24C', '3t24B']"
1f5qD,1f5qB,"['1f5qD']"
1c2rA,1c2rA,"['1vydA', '1c2rB', '1vydB']"
3wmmH,1eysH,"['5y5sH', '3wmmH']"
1qlqA,1qlqA,"['1g6xA']"
4kuaA,4l89A,"['4koyA', '4kuaA', '4kowA', '4kovA', '4korA', '4kotA', '4kosA', '4oaeA', '4klwA', '4oadA', '3pgpA', '4l8aA', '5vd6A', '4koxA', '5vdbA', '4kubA', '4kouA', '4m3sA', '4klvA']"
3qf7A,4w9mI,"['3qf7B', '3qf7A', '3thoA', '4w9mK', '4w9mC', '4w9mE']"
3qf7A,3qg5A,"['3qg5B']"
5h1wA,5b80A,"['5h1wB', '5b7zA', '5h1wA', '5b80B', '5h6hB', '5b7zB', '5b7yB', '5h6hA', '2zvrB', '5b7yA']"
2bezC,5zvmB,"['2bezC']"
4hi9B,3f6qB,"['4hi9B', '4hi8B']"
6jfvA,6jfvA,"['6jfvC']"
3ta9A,3ta9A,"['4ptwB', '4ptwA', '3ta9B', '4ptxA', '4ptvB', '4ptxB', '4ptvA']"
4uw7C,4uw7B,"['4uw7C', '4uw7A']"
1dq7A,1dq7A,"['2a7tA', '1dq7B', '2a7tB']"
3n0vA,3n0vB,"['3n0vC', '3n0vD', '3n0vA']"
2f5cA,2f5cA,"['2hyfC', '4hx4B', '2f5fB', '2hyfD', '4hv6A', '3r60B', '4hv6B', '2f5eA', '2f5eB', '1on1A', '4hx7B', '2f5dB', '4hx7A', '3r60A', '4hx8B', '2ev0B', '2f5fA', '3r61A', '3r61B', '2ev6A', '2ev5A', '2ev6B', '2ev0A', '2f5dA', '2hyfA', '1on2A', '2hygD', '4hv5B', '1on1B', '4hx8A', '2ev5B', '4hx4A', '1on2B']"
6w4uB,6w4uA,"['6w4uB']"
1a4gA,3k39M,"['3k38N', '3k3aH', '3k3aA', '3k39N', '1nsdB', '3k38G', '3k39H', '1nsdA', '3k39O', '3k39C', '3k38L', '3k3aK', '3k37A', '1nscA', '3k38I', '3k38F', '1nscB', '3k39D', '3k3aC', '3k3aL', '1a4qB', '3k36A', '3k3aE', '3k39B', '3k36B', '3k3aI', '1a4gB', '3k39L', '3k38E', '3k38C', '3k39A', '3k39P', '3k39F', '3k3aF', '3k3aD', '3k39K', '3k38A', '3k39J', '3k39E', '3k3aN', '3k3aM', '3k38O', '3k3aP', '3k38D', '3k3aB', '1a4gA', '3k38H', '3k38P', '3k3aJ', '3k37B', '3k38J', '3k39G', '3k39I', '1nsbA', '3k38M', '3k38K', '1a4qA', '1nsbB', '3k3aO', '3k38B', '3k3aG']"
2i0eA,2i0eA,"[]"
6emiA,6emiB,"['6emiA']"
1s4cB,1s4cD,"['1s4cB', '1jopD', '1s4cC', '1jopA', '1jopC', '1jopB', '1s4cA']"
1dy1A,1koeA,"['1dy1A', '1dy0A']"
5wc4A,5wc4A,"['5w8qA', '5w8qB', '5wc4B']"
6o0dB,6o0fA,"['6o0eB', '6o0dB', '6o0dA', '6o0fB', '6o0eA']"
2acaA,2acaB,"['2acaA']"
1d7cA,1d7bB,"['1d7bA', '1d7cA', '1pl3B', '1d7cB', '1d7dB', '1d7dA', '1pl3A']"
3l2kA,3hguA,"['3l2kB', '3hgvB', '3l2kA', '3hguB', '3hgvA']"
6wj8A,6wj8A,"['6wj8B', '6wj8C', '6wj8D']"
4fjvA,5qivA,"['5qirA', '5qitA', '5qiqA', '5qisA', '1tffA', '5qiyA', '5qiwA', '5qioA', '5qixA', '4fjvA', '4fjvC', '5qiuA', '5qipA', '5qizA']"
5t9aB,5t9gA,"['5t9gC', '5t9aA', '5t9aB', '5t9gD', '5t9aD', '5t9gB', '5t9aC']"
3wybA,5gz1B,"['3wycB', '3wycA', '5gz6A', '3wybA', '3wybB', '5gz1A', '5gz6B', '5gz3A', '5gz3B']"
4l9oA,4l9oA,"[]"
3gxaC,3ir1C,"['6ojaC', '6dzxD', '3ir1A', '6dzxF', '3ir1E', '6ojaE', '3ir1D', '6ojaA', '6dzxE', '6ojaD', '6dzxA', '3ir1B', '6dzxB', '6dzxC', '6ojaB', '6ojaF', '3ir1F']"
3gxaC,6cvaA,"[]"
3qkcB,3qkcA,"['3qkcB']"
5cwcA,5cwgA,"['5cwcA']"
3um9A,3um9A,"['3um9B']"
5d77A,5d78A,"[]"
5d77A,5d77A,"[]"
6nmxA,6cgqB,"['6cgqA', '6nmxC', '6nmxA', '6nmxD', '6nmxB']"
4imrA,4imrA,"['4imrB']"
5mqpE,5mqpF,"['5mqpC', '5mqpB', '5mqpH', '5mqpG', '5mqpD', '5mqpE', '5mqpA']"
5tdrA,5tdwA,"['5tdrA']"
2z6iB,2z6iB,"['2z6iA', '2z6jB', '2z6jA']"
3m18A,3m19B,"['3m19A', '3m18A']"
5j55A,5j55A,"['5j54A', '5j53A']"
6itkA,6itkB,"['6itkA']"
5loxA,5loxQ,"['5loxK', '5lox5', '5loxY', '5loxW', '5loxD', '5lox7', '5loxH', '5loxS', '5loxL', '5loxB', '5loxM', '5loxO', '5lox8', '5loxC', '5loxG', '5loxT', '5loxR', '5loxF', '5lox1', '5lox6', '5loxV', '5loxJ', '5loxP', '5lox3', '5lox2', '5loxI', '5loxX', '5lox4', '5loxE', '5loxA', '5loxU', '5loxN', '5loxZ']"
5dn6A,5dn6C,"['5dn6B', '5cdfA', '5dn6A']"
4dteA,4dteA,"['4dteB']"
3gorA,3gorA,"['3gorB', '3gorD', '3gorC']"
6tkvA,6tkvA,"['6x5sB', '6tkvB', '6x5sA']"
5ky2B,5kxhB,"['5ky2B', '5ky3B']"
5vpnB,3p4sN,"['4kx6N', '4kx6B', '1kfyB', '3p4qB', '3p4rB', '3cirB', '1kf6N', '3p4qN', '1kfyN', '3cirN', '1l0vB', '3p4pN', '1l0vN', '3p4pB', '6awfB', '1kf6B', '2b76B', '5vpnB', '3p4rN', '3p4sB', '5vpnF', '6awfF', '2b76N']"
1yf3A,1yfjA,"['1yflD', '1yfjD', '1yfjB', '1yfjC', '1yf3A', '1yfjF', '1yfjE', '1yflB', '1yflE', '1yflA', '1yf3B']"
1mfwA,1mfwA,"[]"
3h01A,3h01A,"['3gwoA']"
3rghA,3rghB,"['3rghA']"
5dd5H,5dd6A,"['5dd1H', '5dd0H', '5dd3H', '5dd6H', '5dd5H']"
2p9xA,2p9xB,"['2p9xD', '2p9xA', '2p9xC']"
2vr5A,2vncA,"['2vncB', '2vr5A', '2vr5B', '2vuyA', '2vuyB']"
3gwlA,3gwlB,"['3gwlA']"
2panA,2panE,"['2panF', '2panA', '2panC', '2panB', '2panD']"
4ozyA,4ozzA,"['4ozyA']"
2h9dD,3retB,"['3hgxA', '3retA', '2h9dD', '3remB', '3hgwD', '3remA', '2h9dC', '3hgxB']"
2ricC,2gguA,"['4m18E', '2rieC', '2riaA', '4m17J', '3dbzA', '2gguC', '4m18F', '4m18J', '3g81B', '4m17L', '2os9C', '1b08C', '2ggxC', '2riaC', '2ridA', '2ricA', '4m18D', '3g83C', '2orkC', '2rieB', '2ribA', '2ggxB', '4m17D', '2os9A', '4m18C', '3g84B', '2ribB', '4m17H', '2ricC', '2gguB', '4m18A', '2orjC', '4m17F', '2orjA', '4m17E', '2orkA', '3g83B', '2os9B', '3dbzC', '2ribC', '4m18H', '1b08B', '3g81C', '3dbzB', '4m18K', '4m17B', '3g84A', '2riaB', '2ricB', '2ridB', '4m18B', '3g83A', '4m17G', '2orjB', '4m18L', '4m18I', '2ggxA', '4m17K', '3g81A', '2ridC', '4m17I', '2rieA', '4m18G', '3g84C', '4m17A', '4m17C', '2orkB', '1b08A']"
5w95B,5w95A,"['5w95B']"
4q86B,4q86A,"['4q85H', '4q85G', '4q85F', '4q86E', '4q86D', '4q84B', '4q85C', '4q85B', '4q84A', '4q86F', '4q86H', '4q85E', '4q86B', '4q85D', '4q86C', '4q85A', '4q86G']"
4u7uH,4qyzH,"['4u7uE', '5cd4E', '5cd4Q', '5cd4D', '5h9eF', '5h9eE', '4qyzG', '4qyzE', '4u7uF', '4u7uT', '5h9fE', '5h9fG', '5cd4C', '5h9fH', '5h9eG', '4u7uQ', '4u7uS', '4u7uH', '5cd4R', '5cd4F', '4u7uR', '5cd4P', '5cd4O', '4qyzF', '5h9fF', '4u7uG', '5h9eH']"
4u7uH,4u7uV,"['5h9fI', '5cd4G', '5h9eI', '4u7uJ', '5cd4S']"
4u7uH,5cd4N,"['4u7uI', '4qyzD', '5cd4B', '4u7uU']"
3mujA,3mujA,"[]"
3mujA,3mujB,"[]"
2ppwA,2ppwA,"['2ppwB']"
3ggwC,3bz4C,"['3c5sC', '1ub6B', '1uz6M', '1fl3L', '3bz4E', '3ggwC', '3c6sE', '3cfbL', '3c6sA', '3bz4G', '3c6sG', '3cfbA', '1uz8L', '1fl3B', '1ub6L', '3c6sC', '3ggwA', '1ub5L', '1ub5B', '1uz6E', '1uz6L', '1uz8A', '3cfcL', '3c5sA', '1uz6V', '3bz4A']"
5uprA,5uprB,"['5uprC', '5uprA', '5uprD']"
1qjzB,1e57B,"['2wwsB', '1qjzB', '2xpjC', '2xpjB', '2wwsC', '1qjzC', '1e57C']"
1qjzB,1qjzA,"[]"
4b5wA,4b5vA,"['4b5tA', '4b5sA', '4b5wE', '4b5tB', '4b5wC', '4b5wD', '4b5wF', '4b5wB', '4b5vB', '4b5wA', '4b5uA', '4b5sB', '4b5uB']"
5xktA,5xktB,"['5xktA']"
3sknA,3sjvS,"['3sknA', '3sjvI', '3sknG', '3sjvN', '3sknE', '3sknC', '3sjvD']"
5y9fL,5y9fV,"['5y9fX', '5y9fb', '5y9fR', '5y9fL', '5y9fZ', '5y9fd', '5y9fN', '5y9fT', '5y9fP']"
1x7iB,1twdA,"['1x7iA', '1x8cA', '1twdB', '1x8cB', '1x7iB']"
3l4gB,3l4gB,"['3l4gL', '3l4gD', '3l4gN', '3l4gP', '3l4gF', '3l4gJ', '3l4gH']"
3hv9A,3hv8A,"['4afyA', '4ag0A', '3hv9A', '4afyB', '4ag0B']"
2v5sB,2v5sB,"['2v5sA', '2v5mA', '4xhqA']"
4pwpA,4pwpA,"['4pwoA']"
6gemA,6gemD,"['6gemC', '6gemA', '6gemB']"
1fq5A,1fmuA,"['1dp5A', '1fq7A', '1fq5A', '1fmxA', '1g0vA', '1fq8A', '2jxrA', '1fq6A', '1dpjA', '1fmxB', '1fq4A']"
4begA,4begA,"['4begB']"
4je0B,4je0B,"['4je0A']"
6e29A,6e29C,"['6e29D', '6e29B']"
3ehnA,3ehnA,"['3ehmB', '3ehnB', '3ehmA']"
3c3dA,3c3eB,"['3c3dA', '3c3eC', '3cgwA', '3c3eD', '3c3dD', '3c3dC', '3c3dB', '3c3eA']"
6uncB,6uncB,"[]"
4egxA,4egxA,"['4egxC']"
4egxA,4egxD,"['4egxB']"
5kx4A,5kx4A,"['5kx4B']"
2cbtA,2cbtB,"['2cbtA']"
5h81B,5h81B,"[]"
6my4L,3be1L,"['6my5L', '6mxrL', '6mxrB', '6my4B', '6my5B', '6my4L', '6mxsB', '3bdyL', '6mxsL']"
2oltC,2oltB,"['2iiuA', '2iiuC', '2oltC', '2oltA']"
4djhB,4djhB,"[]"
4djhB,4djhA,"[]"
2f6kA,2f6kB,"['2f6kA']"
6s1yA,6s1zA,"['6s1yA']"
1i2cA,1i2bA,"['1i24A', '1qrrA', '1i2cA']"
6hbdA,6hyhB,"['6hyhA', '6hbdA', '6hbmB', '6hbmA', '6hbdB']"
6hbdA,6hb0B,"['6hb0A']"
2i1mA,2i1mA,"['3beaA']"
5w1kD,5w1kI,"['5w1kQ', '5w1kD', '5w1kO']"
1zgdA,1zgdB,"['1zgdA']"
6s9sA,6s9sA,"['6s9tA']"
3kdmL,3kdmA,"['3kdmL']"
4nacA,4nacB,"['4jxtA', '4nacA']"
3cqrA,3cqrB,"['3cqrA']"
4a69A,4a69A,"['4a69B']"
4kmpA,4kmpA,"['3hl5B', '3hl5A', '2vslA', '4kmpB', '1nw9A']"
4cqgA,4bfmA,"['4cqgA']"
4dcnD,4dcnD,"['4dcnC']"
3u27C,3u27E,"['3u27A', '3u27D', '3u27B', '3u27F', '3u27C']"
1jx7A,1jx7B,"['1jx7E', '1jx7F', '1jx7D', '1jx7A', '1jx7C']"
5x2nH,5x2qJ,"['5x2oJ', '5x2oH', '5x2mJ', '5x2pJ', '5x2nJ', '5x2nH', '5x2pH', '5x2mH', '5x2qH']"
4cxvA,4cxoA,"['3w52A', '4cxvB', '4cxpA', '4cxvA', '4cwmB', '4cwmA']"
3ftnA,3ftnB,"['3fsrB', '3fsrC', '3ftnA', '3fsrD', '3ftnC', '3ftnD', '3fsrA']"
5cxkA,5cxkF,"['5cxkC', '5cxkD', '5cxkG', '5cxkH', '5cxkB', '5cxkA', '5cxkE']"
5t6uA,6bkiA,"['5t6uA', '6bkiB']"
5l53A,5l53A,"[]"
3o6oA,3o6oA,"['3opdA', '3o6oB', '3omuA']"
4tnwZ,4tnwi,"['4at6P', '3rhwM', '1f4yL', '4at6K', '1ngpL', '2ntfL', '6h3hD', '4at6N', '4at6D', '3riaL', '3ri5L', '4tnwM', '4at6I', '1f4wL', '1mfbL', '3riaK', '1ineL', '4a6yA', '1etzL', '1yuhA', '4a6yL', '4tnvg', '3rifO', '1sm3L', '2zpkL', '1mfcL', '4tnwO', '4tnwg', '4tnwN', '4tnvf', '4at6L', '4at6B', '3ri5O', '1etzA', '4tnvi', '4tnvM', '3rhwK', '2op4L', '2y06L', '3ri5M', '2visA', '3rhwO', '1ngqL', '3riaM', '3ks0L', '2virA', '3rifM', '1yuhL', '1mfeL', '4tnvh', '4tnwL', '2y07L', '3rifK', '1mfdL', '4tnwh', '2y36L', '4tnvN', '2xzqL', '3ks0J', '4tnwf', '4tnvL', '3ri5K', '4tnvK', '2vitA', '4tnvZ', '4amkL', '1f4xL', '4tnwK', '4tnwZ', '1indL', '4at6F', '3rhwL', '3riaO', '6h3hB', '2ntfA', '3rifL', '4tnvO']"
4tnwZ,1gigL,"['1nc4A', '1nc4C', '1nc2A', '6n5bL', '2zpkM', '1nc2C']"
6t6jA,6t6jA,"['6t6iA', '6t6eA']"
1ofuA,1ofuA,"['1ofuB']"
6nokA,6nokA,"[]"
6qmmB,6qmmA,"['6qmmB']"
4ki7X,4ki7P,"['4ki7I', '3n86W', '4ki7K', '3n86X', '3n87H', '3n86F', '4ki7U', '3n8nS', '4kiuR', '4kiuK', '3n7aD', '3n7aK', '3n86N', '3n86H', '4ki7J', '3n7aG', '3n87D', '3n8nW', '3n7aT', '1h0sA', '4b6pA', '4v0sB', '3n8nX', '3n86T', '3n8nU', '3n87N', '3n8nR', '4kiuS', '3n86I', '3n8nT', '2y76A', '3n7aE', '3n8nA', '4kiuF', '3n7aH', '4b6oA', '4ki7T', '4civA', '3n7aB', '4kiuD', '3n86M', '3n87M', '4ki7R', '4kiuC', '1h05A', '3n7aN', '4ki7N', '3n8nC', '3n86R', '3n7aR', '3n8nF', '3n8nO', '4kiuT', '3n8nV', '3n86J', '4kiuH', '3n87O', '3n87A', '3n8nH', '3n87U', '4kiuB', '1h0rA', '4ki7B', '4ki7L', '3n7aM', '3n7aX', '3n86V', '4kiuA', '4ciyA', '4kiuQ', '3n86C', '4ki7S', '3n7aQ', '3n87J', '4ckyA', '3n76A', '4ki7F', '3n87W', '3n7aA', '4kiuG', '4kiuO', '3n7aP', '4ki7D', '3n87X', '3n7aF', '3n8nL', '3n87C', '3n8nM', '4ki7H', '4kiuV', '4ckxA', '4kiuP', '4kiuE', '3n87K', '3n8nQ', '4ki7V', '3n86P', '3n8nJ', '3n86U', '3n7aS', '3n87S', '3n86G', '3n87B', '3n87F', '3n8nG', '3n86Q', '3n87P', '3n7aC', '4kiuU', '3n87R', '3n86A', '4ki7O', '4kiuJ', '3n87E', '4kiuN', '3n87T', '4kijA', '4kiuW', '3n7aJ', '3n87L', '4v0sA', '3n7aL', '4cl0A', '4ki7C', '4kiuI', '3n7aO', '3n7aV', '3n87Q', '3n7aI', '3n87I', '3n86E', '4cixA', '3n86S', '3n8nK', '3n8nB', '4ki7X', '3n87G', '3n87V', '3n86L', '2y77A', '3n86D', '3n7aW', '4ki7E', '3n7aU', '4ki7W', '4kiuX', '4ciwA', '3n8nP', '4ki7G', '3n8nD', '2dhqA', '3n8nE', '2y71A', '4b6qA', '3n8nI', '4kiuL', '3n86K', '3n86O', '3n86B', '2xb8A']"
2gb3B,2gb3E,"['2gb3F', '2gb3B', '2gb3D', '2gb3A', '2gb3C']"
4ll9B,4ll9C,"['4ll9A', '4ll9B']"
5w9qA,5w9qB,"['5w9qA']"
2q73C,2q9lB,"['2q9lA', '2q73A', '2q73C']"
4p80B,4p80B,"['4p80A']"
5abyC,5abyA,"['5abyE', '5abxA', '5abyC']"
1x0pA,1x0pI,"['1x0pE', '1x0pA', '1x0pC', '1x0pF', '1x0pG', '1x0pH', '1x0pD', '1x0pJ', '1x0pB']"
3v9jB,4lh3B,"['3v9lA', '4lh1B', '4lh0B', '4lh0A', '4lgzA', '3v9lB', '4lh2A', '4e3xA', '4lh3A', '3v9kA', '4lgzB', '3v9jB', '3v9jA', '4lh2B', '3v9kB', '4e3xB', '4lh1A']"
4rkfB,4rkfA,"['4rkfB']"
3gqeA,3gqeB,"['3gqoB', '3gqoD', '3gqeA', '3gqoC', '3gqoA']"
2bk0A,2bk0B,"['2bk0A']"
4u4bA,4u4bA,"['4u49B']"
4lypA,4lypB,"['4nrrB', '4nrsA', '4nrsB', '4lyqA', '4lyrA', '4nrrA', '4lypA']"
5k2mF,5k2mE,"['5k2mF']"
4i7aD,4i7aD,"['4i7aE']"
6a2cA,6a2cB,"['6a2dA', '6a2cA', '6a2aA', '6a2aB', '6a2dB']"
1khwB,1khwA,"['1khvA', '1khwB', '1khvB']"
4jo4H,4jo3H,"['4jo4H', '4jo4I', '4jo3I']"
5m99A,5m99A,"['5m99B']"
3h93A,4zl9A,"['3h93A', '4zl8A', '5dchA', '4zl7A']"
3thaB,3thaA,"['3thaB']"
4aybB,2pmzR,"['2wb1B', '3hkzJ', '2waqB', '2wb1R', '3hkzB', '4aybB', '2y0sR', '2y0sB', '2pmzB']"
1hi9A,1hi9A,"['1hi9D', '1hi9B', '1hi9E', '1hi9C']"
6hycB,6hycC,"['6hycD', '6n1kB', '6hycA', '6n1kD', '6hycB', '6n1kC', '6n1kA']"
5madE,5madE,"['5madC', '5madA', '5madG']"
2p3pB,2p3pB,"['2p3pA']"
4g1bA,4g1bD,"['4g1vA', '4g1bB', '4g1bA', '4g1bC']"
5gz4A,5gz4A,"['5gz5A']"
2yv9A,2yv9B,"['2yv9A']"
3ubtY,3ubtY,"['3ubtA', '3ubtB', '1dctA', '1dctB']"
4rwnA,1px5A,"['1px5B', '4rwqA', '4rwqB']"
4rwnA,4rwnA,"['4rwpA', '4rwoA']"
1b8vA,1b8vA,"['1b8uA', '1b8pA']"
6ahwA,6ahwA,"['6ahwB']"
5ju6A,5ju6B,"['5ju6C', '5ju6D', '5ju6A']"
4urpA,4urpA,"['4urpB']"
6d8wB,6d8wE,"['6d8wA', '6d8wB', '6d8wF', '6d8wC']"
2e3mA,2e3nA,"['3h3qA', '2e3qA', '3h3sB', '3h3tA', '3h3sA', '3h3rB', '6j81A', '3h3qB', '2e3oA', '5zymA', '2e3pA', '6if0A', '5zyiA', '2e3pB', '2z9zA', '5zylA', '3h3rA', '2z9yA', '6j0oA', '5zyhA', '5jjdB', '2e3mA', '5zykA', '5zygA', '5zyjA', '3h3tB', '6iezA']"
6apqA,4w2oE,"['4w2oG', '4w2oC', '4w2oA', '6apqA']"
3kk4A,3kk4B,"['3kk4C', '3kk4D', '3kk4A']"
1vchD,1vchC,"['1vchD', '1vchA', '1vchB']"
2omdB,2omdB,"[]"
1gvjB,6datC,"['6datA', '1md0A', '1gvjB', '1md0B', '1gvjA', '6da1B', '6datD', '6da1A', '6datB']"
1r0kB,1r0lA,"['1r0lD', '1r0kD', '1r0lB', '1r0kC', '1r0lC', '1r0kA', '1r0kB']"
3bt2B,4k24B,"['3bt2B', '3bt1B']"
4hw6A,4hw6B,"['4hw6D', '4hw6A', '4hw6C']"
1h6tA,2wquB,"['2wquC', '2uzxC', '2wqxA', '2uzyC', '1h6tA', '2uzxA', '2wqwA', '2wquF', '2wqvA', '6gcuE', '2wquA', '6dbgB', '2wqwB', '2wqvB', '2uzyA', '2wquD', '6gcuB', '6dbgA', '2wquE', '2wqxB']"
6gfuA,5w76A,"['6gfuA']"
6e5bN,6e5bN,"['6e5bb']"
2pa4B,2pa4C,"['2pa4D', '2pa4A', '2pa4B']"
2nq2C,2nq2D,"['2nq2C']"
2vphA,2vphB,"['2vphA']"
2fr2A,6r3wA,"['6r3yA', '2fr2A']"
3vorA,3s0tB,"['3vorA', '3s0tA']"
5m6dA,5m6dB,"['5m6dA']"
4ihsB,4ihsC,"['4ihtA', '4ihsA', '4ihsB', '4ihtB', '4ihtC', '4ihtD', '3m1eA', '4ihsD']"
1te5A,1te5A,"['1te5B']"
2wwkO,2wwkO,"[]"
3w01A,3w02B,"['3w01B', '3w02A', '3w01A']"
5ekqE,5ekqE,"[]"
1ydgE,1ydgA,"['1yrhB', '1yrhA', '1ydgH', '1yrhE', '1yrhH', '1yrhD', '1yrhC', '1ydgC', '1yrhF', '1yrhG', '1ydgD', '1ydgF', '1ydgG', '1ydgE', '1ydgB']"
2zt9C,2zt9C,"['4h44C']"
7c94E,7c95B,"[]"
7c94E,7c94E,"[]"
4b0mM,4b0mM,"[]"
3nqpB,3nqpA,"['3nqpB']"
4gxvH,4gxuM,"['4gxvI', '4gxvH', '4gxuQ']"
2z38A,2z38A,"['2z37C', '2z39A', '2z37D', '2z39B', '2z37B', '2z37A']"
3b1nB,3b1qB,"['3b1qE', '3b1qF', '3b1rA', '3b1qD', '3b1nB', '3b1nA', '3b1pA', '3b1rB', '3b1qC', '3b1rF', '3b1rC', '3b1rE', '3b1oA', '3b1rD', '3b1qA']"
3b1nB,3b1oB,"[]"
5bumA,5bumB,"['5bumA']"
3gyxB,3gyxH,"['3gyxB', '3gyxJ', '3gyxF', '3gyxL', '3gyxD']"
4yrcA,4yreB,"['3hrkB', '4yrnB', '4yrmA', '4yrkB', '4yrmB', '4yroA', '4yreA', '4yrqA', '4yrsA', '4yrcA', '4yrtA', '4yp0A', '4yrjA', '4yrkA', '3lc0A', '4yrnA', '3hrkA']"
6eckB,6eckA,"['6echD', '6eckB', '6echC', '6echA', '6echB']"
4f19A,4f1uA,"['4f18A', '4f19A', '2q9tA', '4f1vA']"
5epoA,5epoC,"['5epoB', '5epoA', '5epoD']"
